environment	sel	parentalACC	gen	acc23	temp	line	replicate	sex	development time	development rate	tibia lenght	growth rate	survival									
constant	hot		20	no	23	3	20no233a	f	11.75	0.0851	6.4	0.544680851	0.8									
constant	hot		20	no	23	3	20no233a	m			7.3	0.621276596										
constant	hot		20	yes	23	3	20yes233a	f	12.50	0.0800	6.5	0.52	0.6									
constant	hot		20	yes	23	3	20yes233a	m			7.55	0.604										
constant	hot		20	no	23	4	20no234b	f	11.57	0.0864	6.6	0.570370349	0.7									
constant	hot		20	no	23	4	20no234a	f	11.88	0.0842	6.6	0.555789474	0.8									
constant	hot		20	no	23	4	20no234b	m			7.1	0.613580224										
constant	hot		20	no	23	4	20no234a	m			7.4	0.623157895										
constant	hot		20	yes	23	4	20yes234a	f	13.86	0.0722			0.7									
constant	hot		20	yes	23	4	20yes234a	m			7.25	0.523195871										
constant	hot		20	no	23	5	20no235a	f	11.70	0.0855	6.35	0.542735043	1									
constant	hot		20	no	23	5	20no235a	m			7.25	0.61965812										
constant	hot		20	yes	23	5	20yes235a	f	12.67	0.0789	6.35	0.501315776	0.6									
constant	hot		20	yes	23	5	20yes235a	m			6.95	0.548684196										
constant	hot		20	no	23	6	20no236a	f	11.80	0.0847	6.55	0.555084746	1									
constant	hot		20	no	23	6	20no236a	m			7.5	0.63559322										
constant	hot		20	yes	23	6	20yes236a	f	11.73	0.0853	6.25	0.532945724	1									
constant	hot		20	yes	23	6	20yes236a	m			7.45	0.635271303										
constant	hot		20	no	23	7	20no237a	f	11.14	0.0897	6.575	0.59006411	0.7									
constant	hot		20	no	23	7	20no237b	f	11.56	0.0865	6.466667	0.559615392	0.9									
constant	hot		20	no	23	7	20no237b	m			7.45	0.644711514										
constant	hot		20	yes	23	7	20yes237a	f	11.83	0.0845	6.75	0.570422551	0.6									
constant	hot		20	yes	23	7	20yes237a	m			7.35	0.621126778										
constant	hot		20	no	23	8	20no238a	f	12.00	0.0833	6.35	0.529166667	0.4									
constant	hot		20	no	23	8	20no238a	m			7.5	0.625										
constant	hot		20	yes	23	8	20yes238a	f	12.00	0.0833	6.5	0.541666667	0.8									
constant	hot		20	yes	23	8	20yes238b	f	11.78	0.0849	6.15	0.522169801	0.9									
constant	hot		20	yes	23	8	20yes238a	m			7.15	0.595833333										
constant	hot		20	yes	23	8	20yes238b	m			7.4	0.628301875										
variable	inter	fromCOLD	20	no	23	25	20no2325a	f	12.88	0.0777	6.3	0.489320388	0.8									
variable	inter	fromCOLD	20	no	23	25	20no2325a	m			7.25	0.563106796										
variable	inter	fromCOLD	20	yes	23	25	20yes2325a	f	13.25	0.0755	6.4	0.483018868	0.4									
